site_id_from;site_id_to;iwait;inveht;xwait;xpen;xnum;cost
1658;2363;0.83;8.78;1.52;5.0;1.0;16.13
1659;2363;0.83;8.07;1.52;5.0;1.0;15.42
2025;2363;1.43;6.66;1.26;5.0;1.0;14.34
2359;2363;6.0;9.02;0.0;0.0;0.0;15.02
2360;2363;1.25;6.7;0.0;0.0;0.0;7.95
2368;2363;1.25;2.6;0.0;0.0;0.0;3.85
2369;2363;1.07;9.77;5.18;6.07;1.21;22.1
2576;2363;1.67;6.83;1.25;5.0;1.0;14.75
2589;2363;3.33;10.2;1.25;5.0;1.0;19.78
2590;2363;3.33;8.85;1.25;5.0;1.0;18.43
2591;2363;2.14;6.7;1.25;5.0;1.0;15.1
2592;2363;3.33;6.64;1.25;5.0;1.0;16.22
2593;2363;1.67;6.1;1.25;5.0;1.0;14.02
2594;2363;1.11;4.77;1.25;5.0;1.0;12.13
2597;2363;1.25;4.16;0.0;0.0;0.0;5.41
2616;2363;0.65;13.41;1.65;8.26;1.65;23.97
2628;2363;2.0;4.14;1.25;5.0;1.0;12.39
2629;2363;2.0;5.04;1.25;5.0;1.0;13.29
2630;2363;1.52;6.41;0.0;0.0;0.0;7.93
2686;2363;2.14;17.33;2.92;7.86;1.57;30.26
2785;2363;1.63;7.41;1.52;5.0;1.0;15.56
2786;2363;1.63;8.78;1.52;5.0;1.0;16.93
2787;2363;0.7;8.57;1.34;4.42;0.88;15.02
2788;2363;1.63;11.62;1.52;5.0;1.0;19.77
2790;2363;3.75;13.05;0.0;0.0;0.0;16.8
2791;2363;0.65;11.92;1.25;4.13;0.83;17.95
2793;2363;0.86;4.65;1.52;5.0;1.0;12.03
2794;2363;1.52;2.78;0.0;0.0;0.0;4.3
2795;2363;1.52;4.45;0.0;0.0;0.0;5.97
2811;2363;0.75;10.77;1.25;5.0;1.0;17.77
2814;2363;0.65;12.47;2.0;10.0;2.0;25.12
2860;2363;2.0;10.41;1.8;8.67;1.73;22.88
2861;2363;0.62;9.02;1.04;4.17;0.83;14.85
2862;2363;1.88;10.01;1.81;8.75;1.75;22.45
2863;2363;2.14;10.96;2.0;10.0;2.0;25.1
2924;2363;3.75;8.85;0.0;0.0;0.0;12.6
2925;2363;2.73;10.37;0.0;0.0;0.0;13.1
2926;2363;0.59;7.74;0.98;3.92;0.78;13.23
2937;2363;6.0;6.23;1.25;5.0;1.0;18.48
3014;2363;3.33;8.18;2.07;5.0;1.0;18.58
3317;2363;1.55;17.9;3.71;10.0;2.0;33.16
3318;2363;5.0;25.14;5.37;10.0;2.0;45.52
3349;2363;3.75;10.51;0.0;0.0;0.0;14.26
3798;2363;3.33;7.99;2.07;5.0;1.0;18.39
3799;2363;2.73;8.87;0.0;0.0;0.0;11.6
3962;2363;4.29;18.95;2.0;10.0;2.0;35.24
4077;2363;5.0;27.53;2.31;10.0;2.0;44.84
4138;2363;1.25;7.45;0.0;0.0;0.0;8.7
4142;2363;1.25;1.24;0.0;0.0;0.0;2.49
4149;2363;7.5;8.73;1.25;5.0;1.0;22.48
4151;2363;6.0;11.61;2.0;10.0;2.0;29.61
4187;2363;4.29;9.56;2.0;10.0;2.0;25.85
4276;2363;1.43;12.94;2.35;10.0;2.0;26.72
4304;2363;3.33;5.33;1.25;5.0;1.0;14.91
4308;2363;1.88;3.24;1.25;5.0;1.0;11.37
4309;2363;7.5;9.68;3.05;10.0;2.0;30.22
4351;2363;3.75;11.85;2.15;10.0;2.0;27.75
4352;2363;3.75;11.85;2.15;10.0;2.0;27.76
4355;2363;1.15;7.46;2.0;10.0;2.0;20.61
4357;2363;1.15;8.78;2.0;10.0;2.0;21.93
6159;2363;2.73;5.53;1.25;5.0;1.0;14.51
